,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,F06,SYBR,,Unkn,,81,6899.74754354903,74.5,94,
,F07,SYBR,,Unkn,,None,None,None,None,
,F08,SYBR,,Unkn,,None,None,None,None,
,F09,SYBR,,Unkn,,81.5,7468.40045747992,78,84.5,
,F10,SYBR,,Unkn,,None,None,None,None,
,F11,SYBR,,Unkn,,None,None,None,None,
,F12,SYBR,,Unkn,,None,None,None,None,
,G01,SYBR,,Unkn,,80.5,6235.92457055016,74.5,87,
,G02,SYBR,,Unkn,,81,6476.91349327838,74.5,94,
,G03,SYBR,,Unkn,,81,6472.94634635399,74.5,94,
,G04,SYBR,,Unkn,,81,6474.89503919225,74.5,93.5,
,G05,SYBR,,Unkn,,81,6625.68448658198,75,95,
,G06,SYBR,,Unkn,,81,6315.83905877251,74.5,91.5,
,G07,SYBR,,Unkn,,None,None,None,None,
,G08,SYBR,,Unkn,,None,None,None,None,
,G09,SYBR,,Unkn,,80,6075.77051766155,76,92.5,
,G10,SYBR,,Unkn,,None,None,None,None,
,G11,SYBR,,Unkn,,None,None,None,None,
,G12,SYBR,,Unkn,,None,None,None,None,
,H01,SYBR,,Unkn,,80.5,5968.16456183249,74.5,94,
,H02,SYBR,,Unkn,,80.5,6623.11552084773,75,95,
,H03,SYBR,,Unkn,,81,6457.4011866835,74.5,94,
,H04,SYBR,,Unkn,,81,6369.55864972111,74.5,86,
,H05,SYBR,,Unkn,,81,6296.66425238862,74.5,95,
,H06,SYBR,,Unkn,,81,6269.83896358673,74.5,86,
,H07,SYBR,,Unkn,,None,None,None,None,
,H08,SYBR,,Unkn,,None,None,None,None,
,H09,SYBR,,Unkn,,None,None,None,None,
,H10,SYBR,,Unkn,,None,None,None,None,
,H11,SYBR,,Unkn,,None,None,None,None,
,H12,SYBR,,Unkn,,None,None,None,None,
