,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,C11,SYBR,,Unkn,,-8.50906258954928,,Unknown,Unassigned,False
,C12,SYBR,,Unkn,,162.0998882161,,Unknown,Unassigned,False
,D01,SYBR,,Unkn,,35778.993074951,,Unknown,Unassigned,False
,D02,SYBR,,Unkn,,34641.0957715973,,Unknown,Unassigned,False
,D03,SYBR,,Unkn,,34051.4717958578,,Unknown,Unassigned,False
,D04,SYBR,,Unkn,,34333.5448410364,,Unknown,Unassigned,False
,D05,SYBR,,Unkn,,33213.6532960973,,Unknown,Unassigned,False
,D06,SYBR,,Unkn,,32250.781422466,,Unknown,Unassigned,False
,D07,SYBR,,Unkn,,40.6456072806774,,Unknown,Unassigned,False
,D08,SYBR,,Unkn,,-3.28820817211235,,Unknown,Unassigned,False
,D09,SYBR,,Unkn,,14554.0547331189,,Unknown,Unassigned,False
,D10,SYBR,,Unkn,,103.762712330842,,Unknown,Unassigned,False
,D11,SYBR,,Unkn,,116.886798863882,,Unknown,Unassigned,False
,D12,SYBR,,Unkn,,-4.57428117553754,,Unknown,Unassigned,False
,E01,SYBR,,Unkn,,33691.1472351116,,Unknown,Unassigned,False
,E02,SYBR,,Unkn,,36177.3432479569,,Unknown,Unassigned,False
,E03,SYBR,,Unkn,,35774.0136838347,,Unknown,Unassigned,False
,E04,SYBR,,Unkn,,37265.2598961453,,Unknown,Unassigned,False
,E05,SYBR,,Unkn,,33493.7291849637,,Unknown,Unassigned,False
,E06,SYBR,,Unkn,,35663.620197989,,Unknown,Unassigned,False
,E07,SYBR,,Unkn,,-6.00642708153737,,Unknown,Unassigned,False
,E08,SYBR,,Unkn,,4.84439984522105,,Unknown,Unassigned,False
,E09,SYBR,,Unkn,,25395.1372538262,,Unknown,Unassigned,False
,E10,SYBR,,Unkn,,-8.15699793347485,,Unknown,Unassigned,False
,E11,SYBR,,Unkn,,-6.94823669463058,,Unknown,Unassigned,False
,E12,SYBR,,Unkn,,-5.96517248619348,,Unknown,Unassigned,False
,F01,SYBR,,Unkn,,36795.3985342092,,Unknown,Unassigned,False
,F02,SYBR,,Unkn,,38074.1889035432,,Unknown,Unassigned,False
,F03,SYBR,,Unkn,,40017.6387961875,,Unknown,Unassigned,False
,F04,SYBR,,Unkn,,41757.755975985,,Unknown,Unassigned,False
,F05,SYBR,,Unkn,,42169.2365434776,,Unknown,Unassigned,False
,F06,SYBR,,Unkn,,42769.8750342402,,Unknown,Unassigned,False
,F07,SYBR,,Unkn,,7.31910867766546,,Unknown,Unassigned,False
,F08,SYBR,,Unkn,,4.2505126067219,,Unknown,Unassigned,False
,F09,SYBR,,Unkn,,25280.3375318318,,Unknown,Unassigned,False
,F10,SYBR,,Unkn,,-6.35903399106755,,Unknown,Unassigned,False
,F11,SYBR,,Unkn,,-4.53796635179151,,Unknown,Unassigned,False
,F12,SYBR,,Unkn,,107.826968742518,,Unknown,Unassigned,False
,G01,SYBR,,Unkn,,37165.2325399919,,Unknown,Unassigned,False
,G02,SYBR,,Unkn,,38435.5390129526,,Unknown,Unassigned,False
,G03,SYBR,,Unkn,,37525.9890962483,,Unknown,Unassigned,False
,G04,SYBR,,Unkn,,38094.052683193,,Unknown,Unassigned,False
,G05,SYBR,,Unkn,,39120.4489206766,,Unknown,Unassigned,False
,G06,SYBR,,Unkn,,37873.9310877724,,Unknown,Unassigned,False
,G07,SYBR,,Unkn,,14.8205084025987,,Unknown,Unassigned,False
,G08,SYBR,,Unkn,,-5.37192508669832,,Unknown,Unassigned,False
,G09,SYBR,,Unkn,,13591.9543716086,,Unknown,Unassigned,False
,G10,SYBR,,Unkn,,-7.64880137227519,,Unknown,Unassigned,False
,G11,SYBR,,Unkn,,-7.95867488533731,,Unknown,Unassigned,False
,G12,SYBR,,Unkn,,-5.89967630272513,,Unknown,Unassigned,False
,H01,SYBR,,Unkn,,36460.8930561612,,Unknown,Unassigned,False
,H02,SYBR,,Unkn,,40353.596002021,,Unknown,Unassigned,False
,H03,SYBR,,Unkn,,38875.4487710654,,Unknown,Unassigned,False
,H04,SYBR,,Unkn,,38582.4198424166,,Unknown,Unassigned,False
,H05,SYBR,,Unkn,,37828.0649785088,,Unknown,Unassigned,False
,H06,SYBR,,Unkn,,37165.481616268,,Unknown,Unassigned,False
,H07,SYBR,,Unkn,,-9.69068728802995,,Unknown,Unassigned,False
,H08,SYBR,,Unkn,,-6.56091082291714,,Unknown,Unassigned,False
,H09,SYBR,,Unkn,,226.078146876117,,Unknown,Unassigned,False
,H10,SYBR,,Unkn,,-4.1679245689902,,Unknown,Unassigned,False
,H11,SYBR,,Unkn,,-6.82162362397776,,Unknown,Unassigned,False
,H12,SYBR,,Unkn,,-6.98884316351505,,Unknown,Unassigned,False
