,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,C04,SYBR,Chi3l3,Unkn,,8111.93943507199,,Unknown,Unassigned,False
,C05,SYBR,Chi3l3,Unkn,,13422.7437692062,,Unknown,Unassigned,False
,C06,SYBR,Chi3l3,Unkn,,12616.5491645302,,Unknown,Unassigned,False
,C07,SYBR,Retnla,Unkn,,170.739228659715,,Unknown,Unassigned,False
,C08,SYBR,Retnla,Unkn,,1674.47671832313,,Unknown,Unassigned,False
,C09,SYBR,Retnla,Unkn,,58.6582407759546,,Unknown,Unassigned,False
,C10,SYBR,Retnla,Unkn,,441.805712181309,,Unknown,Unassigned,False
,C11,SYBR,Retnla,Unkn,,1817.13608128925,,Unknown,Unassigned,False
,C12,SYBR,Retnla,Unkn,,1.20861364093125,,Unknown,Unassigned,False
,D01,SYBR,Chi3l3,Unkn,,13073.8001101521,,Unknown,Unassigned,False
,D02,SYBR,Chi3l3,Unkn,,17122.0441102232,,Unknown,Unassigned,False
,D03,SYBR,Chi3l3,Unkn,,14691.0987980622,,Unknown,Unassigned,False
,D04,SYBR,Chi3l3,Unkn,,10330.6178503226,,Unknown,Unassigned,False
,D05,SYBR,Chi3l3,Unkn,,18556.8709861748,,Unknown,Unassigned,False
,D06,SYBR,Chi3l3,Unkn,,18820.5608930357,,Unknown,Unassigned,False
,D07,SYBR,Retnla,Unkn,,117.608056104953,,Unknown,Unassigned,False
,D08,SYBR,Retnla,Unkn,,128.552296648742,,Unknown,Unassigned,False
,D09,SYBR,Retnla,Unkn,,3305.4005253394,,Unknown,Unassigned,False
,D10,SYBR,Retnla,Unkn,,297.003795621902,,Unknown,Unassigned,False
,D11,SYBR,Retnla,Unkn,,599.864750315677,,Unknown,Unassigned,False
,D12,SYBR,Retnla,Unkn,,462.788434080674,,Unknown,Unassigned,False
,E01,SYBR,Chi3l3,Unkn,,15332.4758724132,,Unknown,Unassigned,False
,E02,SYBR,Chi3l3,Unkn,,14908.9234031073,,Unknown,Unassigned,False
,E03,SYBR,Chi3l3,Unkn,,9895.26258193809,,Unknown,Unassigned,False
,E04,SYBR,Chi3l3,Unkn,,14212.4408161746,,Unknown,Unassigned,False
,E05,SYBR,Chi3l3,Unkn,,17719.4740324097,,Unknown,Unassigned,False
,E06,SYBR,Chi3l3,Unkn,,17708.6074993682,,Unknown,Unassigned,False
,E07,SYBR,Retnla,Unkn,,294.553165414966,,Unknown,Unassigned,False
,E08,SYBR,Retnla,Unkn,,76.7133229100315,,Unknown,Unassigned,False
,E09,SYBR,Retnla,Unkn,,201.028561070902,,Unknown,Unassigned,False
,E10,SYBR,Retnla,Unkn,,-5.22056481263735,,Unknown,Unassigned,False
,E11,SYBR,Retnla,Unkn,,1678.64853757646,,Unknown,Unassigned,False
