,Well,Fluor,Target,Content,Sample,Cq,SQ
,F12,SYBR,Retnla,Unkn,,NaN,NaN
,G01,SYBR,Chi3l3,Unkn,,25.2127102162632,NaN
,G02,SYBR,Chi3l3,Unkn,,25.1502122977521,NaN
,G03,SYBR,Chi3l3,Unkn,,25.1918246020293,NaN
,G04,SYBR,Chi3l3,Unkn,,25.0778372645637,NaN
,G05,SYBR,Chi3l3,Unkn,,25.1585964022722,NaN
,G06,SYBR,Chi3l3,Unkn,,25.0767933013421,NaN
,G07,SYBR,Retnla,Unkn,,25.9005244719716,NaN
,G08,SYBR,Retnla,Unkn,,25.9110626949622,NaN
,G09,SYBR,Retnla,Unkn,,25.412491730508,NaN
,G10,SYBR,Retnla,Unkn,,25.4708336185399,NaN
,G11,SYBR,Retnla,Unkn,,25.3465225449811,NaN
,G12,SYBR,Retnla,Unkn,,25.4113535174125,NaN
,H01,SYBR,Chi3l3,Unkn,,30.0630091316866,NaN
,H02,SYBR,Chi3l3,Unkn,,30.1155619200211,NaN
,H03,SYBR,Chi3l3,Unkn,,30.0593793724458,NaN
,H04,SYBR,Chi3l3,Unkn,,30.04840330872,NaN
,H05,SYBR,Chi3l3,Unkn,,30.3502969740416,NaN
,H06,SYBR,Chi3l3,Unkn,,30.7997855346499,NaN
,H07,SYBR,Retnla,Unkn,,34.0792493505831,NaN
,H08,SYBR,Retnla,Unkn,,35.0580639589427,NaN
,H09,SYBR,Retnla,Unkn,,32.9287247702422,NaN
,H10,SYBR,Retnla,Unkn,,34.0784890473943,NaN
,H11,SYBR,Retnla,Unkn,,38.5352378259149,NaN
,H12,SYBR,Retnla,Unkn,,35.2127794195934,NaN
