,Temperature,A1,A2,A3,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2
,74,380.580425600216,443.289520017628,37.7002972382601,1132.89177355954,1253.2608386974,1197.30591347347,1342.40104651485,1231.06730536779,1327.08729983901,1271.57932983415,1369.85090010962,1229.61187469482,1361.03075950055,1248.96302808168,1361.49448234863,1254.4232993728,1462.85448326475
,74.5,371.607709454804,434.077365987208,37.2467362810622,1131.07855787195,1248.634011011,1191.13623103666,1338.05974492945,1229.0127107391,1322.0764354994,1269.64318852609,1364.14696763246,1228.17251149635,1359.9868891491,1249.96442124146,1362.1086431092,1254.17640245404,1466.86287666903
,75,363.429791877726,427.373802860868,36.1469180455518,1130.49889537934,1246.7621473988,1189.51600762565,1338.99189711539,1228.78902820942,1319.74604203163,1270.27121334493,1359.88367854791,1229.42435774362,1359.7389015951,1251.99029380584,1365.49043755028,1254.464343414,1472.49045696464
,75.5,357.214449910043,421.17181791965,35.0218496759937,1133.6909393402,1250.38955251632,1192.57710192419,1342.4021765293,1233.82827015294,1318.93176477355,1273.31712939626,1360.3232086346,1234.38219211958,1363.8188775133,1255.54085234819,1369.32275324404,1256.28054538229,1481.68768535607
,76,352.190074563452,414.547190587185,34.0416605395866,1141.8196865665,1257.15748107025,1200.34281303604,1346.84299655619,1241.28665733244,1322.51519326719,1279.88394739269,1365.85897829148,1242.13661260061,1372.20974996444,1263.00907823545,1375.69542868537,1262.85307615379,1492.43068562977
,76.5,347.423167426171,410.146749167166,33.2496852107167,1154.91200618197,1269.13889278244,1215.29978038354,1358.32984696908,1253.1979765671,1334.21155731969,1293.27131829744,1379.41509263461,1255.77680078737,1385.15671971169,1278.530130517,1389.35142123946,1276.02388346368,1509.55850080596
,77,344.455443545068,408.642317061221,32.8738423389776,1176.39233187917,1290.07810239063,1238.27379949907,1380.50287487702,1274.60826478909,1355.66114492548,1316.33936518583,1403.31963522848,1278.60023878393,1407.63914725947,1304.42812820048,1414.01139856986,1297.23672201514,1538.55680974804
,77.5,344.113108099524,409.82821371215,33.201182508018,1210.39326387613,1321.21930407079,1272.68935430364,1415.99902576969,1307.55259798963,1389.47263600553,1351.68097511229,1440.81074108517,1314.94974573789,1446.39140280485,1344.11300678548,1452.67823274457,1333.71179964368,1583.72741108774
,78,345.922647917582,416.602713896755,32.6739612562839,1259.74554522978,1367.38361251973,1324.32011015198,1471.31693295962,1357.14926029988,1442.18946879079,1405.31286859499,1500.02639135408,1370.5081485788,1506.89377762922,1405.56860062942,1513.64130448236,1392.32977119942,1650.34725193283
,78.5,351.105165495883,432.191875003212,32.4501036459885,1329.24954755742,1437.0719326811,1399.47147475317,1553.17528639875,1432.66906193369,1523.40471996406,1486.92864430517,1589.58581910624,1451.70745095261,1597.72764696039,1494.93489593437,1608.35632549123,1478.19008133515,1747.88715057393
