,Temperature,A1,A2,A3,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2
,74,11407.2547023812,13047.0270203607,5883.38106824121,36672.1182263089,39181.8867115814,38780.763392544,43124.3287553101,39867.6928476984,43134.6390170186,40803.7999108755,42999.7966800512,39589.538474796,43187.8944375187,39954.0636819385,42905.7415416723,38840.9051287734,44887.6352172938
,74.5,11219.1241929423,12827.7014631732,5864.50548463808,36106.2432371406,38556.0638578011,38183.7591083518,42453.7288675752,39252.4665837877,42472.6048351021,40168.5835998046,42316.3380458091,38975.024878789,42507.4033421059,39329.4284496606,42224.6352908859,38213.8406753751,44154.972465124
,75,11035.5107500843,12612.6054623436,5846.21908592217,35540.7851937858,37932.7886517599,37588.9632446845,41785.5884898319,38638.3361754391,41812.2086469979,39533.7675494655,41635.4220925403,38360.9752214829,41827.7103643398,38703.9177572561,41543.2437234316,37586.6171324733,43420.5085319892
,75.5,10855.4075080699,12400.2216225937,5828.36968771814,34975.1404588692,37308.4801728412,36993.4709778514,41114.3013832763,38022.9142942517,41152.5306464781,38897.8820426762,40955.726212584,37745.020054771,41147.0076561841,38077.1384693996,40858.978847146,36959.0750790304,42681.9533394107
,76,10678.0999746683,12191.4311128906,5811.17620115504,34406.2893724131,36681.7901162951,36395.5543942946,40442.8602636114,37404.0087006672,40492.5217602158,38259.8147339179,40274.2040855384,37126.0460291144,40463.162359715,37447.6856026859,40173.4326170544,36329.5664185001,41938.4249533753
,76.5,10503.1246890742,11985.3375750667,5794.293504557,33832.4223021998,36050.4128891801,35791.9509167779,39766.3161169873,36780.8164065302,39828.7003294873,37616.8638518013,39588.5332416019,36501.8844925586,39773.9325701875,36812.8163271885,39482.0829593327,35695.1182358828,41188.4299483487
,77,10330.3886454992,11780.8162256501,5777.85958387056,33249.9580598296,35411.1952688928,35178.8596343129,39082.7643388569,36149.2730176619,39156.6572706749,36964.9257068224,38893.0321944323,35868.7103993869,39076.3681761539,36167.3950889799,38782.2491930377,35052.0808442152,40426.9055172717
,77.5,10158.2558792748,11576.1830196733,5761.3348607066,32653.9619952933,34758.5547503181,34551.7115802987,38383.5130670546,35504.2166896116,38470.8840740685,36298.3977356974,38182.8416395425,35220.9958216757,38363.5945059652,35505.9951428538,38065.6199824494,34395.3337855334,39647.1488554184
,78,9985.88215754403,11370.0485721109,5744.75010438569,32036.9609084369,34087.3936197425,33903.2824994558,37663.4531134121,34838.8605540524,37763.9585864185,35610.1219962019,37448.5890804342,34550.5380947549,37626.2927294933,34819.6848972111,37325.7971934071,33714.7111477958,38839.5170684209
,78.5,9811.75143402957,11158.1656290255,5728.62476372613,31390.8046743148,33387.3155204019,33223.4699637429,36907.8204680474,34142.8322855924,37023.9466714694,34888.5200175106,36677.8527761286,33846.2045299299,36851.6774137324,34095.8128337505,36546.5363587557,32998.4314623901,37991.6868240687
,79,9633.88897104252,10936.2933838486,5712.22257556451,30703.1727633799,32645.5831046816,32498.8473627787,36105.1251445571,33401.0933473082,36234.294862627,34117.7811728982,35853.2796352453,33093.4289568932,36022.3941040672,33319.3482199302,35711.428030382,32230.8408862656,37085.2927780714
,79.5,9448.94138023813,10699.2927635943,5695.81525201308,29959.1541201819,31846.5022259176,31713.059335401,35235.9410346073,32598.0934072596,35374.0026035206,33281.2430150994,34957.880992669,32274.3674244979,35118.7713843189,32472.9111002132,34800.804631196,31393.5121813029,36100.6774360659
,80,9255.33679267978,10440.6253488466,5679.93962039729,29138.9084502521,30971.8660054045,30843.5093111462,34279.4107362343,31711.8119699826,34417.6742443813,32356.271937122,33966.0259011348,31364.8547828241,34114.9366700537,31530.7703751432,33788.833468579,30460.8462248571,35009.1679152251
,80.5,9051.37034093072,10147.3048799211,5664.51620168277,28214.2312067841,29993.0082103275,29858.6034844489,33201.4818625756,30710.1534673922,33326.023829235,31306.472595601,32840.7098970854,30328.2510868841,32970.2551119946,30451.6623699279,32628.7989206175,29394.9098132881,33767.120947252
,81,8834.95950680805,9784.94871714935,5648.7814252353,27135.5110132974,28863.5159319611,28702.6111852773,31947.5884646736,29539.8879257962,32039.2290245142,30073.881610538,31516.9486384271,29102.3140364987,31615.8073287426,29165.3594402419,31247.3926500064,28128.6141142775,32297.4185261177
,81.5,8599.26128781508,9318.91990704373,5633.97133017805,25792.6699705943,27487.9582437792,27255.7448410323,30388.3137217814,28087.3180021288,30426.1312194308,28532.7304325762,29847.3722480632,27544.9134806459,29891.1441475996,27509.9482248565,29473.2795114026,26510.2720111464,30423.0297496316
,82,8321.27622915166,8755.65813032032,5620.26625194989,23981.3700737752,25660.9644910028,25301.5800796675,28281.1168724061,26131.6198399288,28250.994837916,26453.6451876323,27591.6472516734,25445.3372497228,27562.0060609556,25286.1117557785,27084.4707490802,24345.1546257656,27914.3740368813
,82.5,7969.35784109431,8117.38924132014,5608.08013242251,21620.3471374684,23266.2518116854,22761.828367405,25522.0140810517,23574.7576504962,25429.1314578266,23752.3055976199,24680.6464350794,22757.9677079973,24577.1193772349,22478.1766628663,24053.3501490344,21616.2142800373,24746.7022990906
,83,7544.14041611241,7442.36140476365,5596.64769492276,18769.4869882795,20345.0846586628,19706.284443877,22176.921521364,20479.3042767802,22040.2666941403,20505.1278876498,21203.4234670916,19574.2466791576,21036.849072517,19196.3753791377,20495.3463096344,18429.8638750761,21039.9013035707
,83.5,7059.04435836732,6815.41684886194,5586.36382334237,15574.0990781209,17034.8559597415,16295.434485085,18411.3824751205,17001.7483244135,18260.7671192709,16883.3920172899,17350.0648135654,16075.5492614058,17142.4050833808,15643.0742040475,16624.3483185622,14980.7628952574,17016.8004908266
,84,6538.81765932187,6326.40358535688,5576.14759693167,12320.0881422665,13594.8432312304,12841.9574327477,14559.2069468302,13441.5551842934,14436.4765198683,13216.8282018143,13499.9373103504,12622.5067114044,13300.8493309271,12222.7626702505,12872.7252132054,11653.2371274554,13123.5252531268
,84.5,6044.31130911815,5986.3610536547,5565.38200985011,9496.98199636559,10518.745933881,9864.24218623751,11198.6430739664,10327.0663106954,11140.0242165028,10055.0093797259,10230.0781221326,9728.44459468034,10080.5876547222,9431.43077457198,9785.31919585568,8931.21128082548,9927.35828765581
,85,5652.83031007235,5782.08439440219,5552.27919548643,7369.88834505107,8138.90635779807,7631.3154055252,8653.54683194444,7965.83801763013,8666.23970585759,7683.82163618267,7803.99258322893,7604.99342031038,7715.29940709799,7427.04911853699,7552.63391249608,6973.28907118491,7620.10713025534
,85.5,5377.06665796686,5690.05937524872,5538.00978740723,5958.00269636426,6512.02237657762,6157.72953838486,6954.00076788079,6387.87650965018,7031.54331808022,6119.27182322884,6223.26865946069,6240.85855324676,6194.0891039531,6175.41689376218,6145.02293142392,5746.5991313601,6168.12081759837
,86,5207.70565902666,5662.8289282656,5523.05830804291,5184.62897749172,5573.49253914734,5358.42160256346,6013.87373749552,5511.90558832251,6142.8824438319,5269.80818343408,5385.01655382973,5535.63177694893,5406.42140938399,5563.1183129604,5443.47961045297,5140.95681310593,5445.75459466752
,86.5,5128.73554759686,5649.73501861239,5507.76958364354,4889.71492750875,5176.7641388658,5058.3116332702,5646.98644758506,5169.9762805923,5806.51289664062,4950.8510336705,5078.63348362354,5289.27543761252,5126.79186306074,5366.21628791812,5207.81509986294,4942.57264536272,5205.85049699614
,87,5105.48978960349,5638.27435135798,5492.24697222097,4806.64875717473,5052.60587329184,4975.30611049575,5539.80653267669,5074.26294872201,5709.9010016339,4863.48346043517,4989.98302811139,5220.42215038888,5044.65214442024,5310.06028808132,5139.14859966681,4884.66254508271,5135.92136237581
,87.5,5094.32651867192,5627.15346409955,5477.48729710423,4775.5664633878,5008.82438984042,4945.99809804029,5500.27728523135,5041.93750212663,5674.30133890146,4834.81770736131,4955.62671499473,5192.72120971835,5010.11885217699,5284.59994116051,5108.26053091631,4857.08622039195,5104.39168961767
,88,5084.49921890587,5616.41452889889,5463.16347736373,4753.99103681971,4983.13099590257,4926.15962980194,5475.03511406987,5020.08501129626,5650.8423710837,4815.77078897856,4931.91926869721,5172.31755007666,4984.9558233208,5264.78232332428,5084.57206952263,4834.67676706802,5079.94709315814
,88.5,5075.27587130839,5606.30975771701,5448.56498291549,4733.08380097879,4960.64670441253,4907.26618055832,5452.64820091948,4998.99051898504,5629.79543296331,4797.94058703499,4911.0629034626,5153.38265668609,4962.20301071392,5246.15961146453,5062.25108292102,4813.50085282864,5057.17753165702
