,Cycle,A1,A2,A3,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2
,15,15.6068673767932,18.3527605949821,9.47551169454073,-15.3647852518761,35.6406745895765,-44.5488097007492,-31.259710330999,-54.8901357318409,-51.270675068532,-35.4479749142274,-69.8898444794659,-37.5959837656492,-46.4840775420143,-36.4687714433076,-44.3857225444945,-34.1957986189327,-54.9340224781827
,16,14.6489994311933,11.7148801127341,8.10318574247503,41.4775735518633,165.980650719604,-13.6655511120998,48.4839014594836,-41.8021104774689,-21.3158296466127,-29.0932614221319,-54.7151869590434,-36.4496205777587,-30.8748484020252,-44.1248842930345,-38.9821700031325,-45.9774688678299,-62.4995204716088
,17,8.74345964477288,3.27144792123545,3.34914693783503,172.990145957172,424.577025059352,43.3813110295205,204.163110621471,-18.8282835564614,38.3296292947971,-12.9471169761855,-22.7140039741626,-30.611084390941,-16.7278833956634,-44.3424035859971,-35.7638381440311,-51.1100854846509,-54.9065889644753
,18,12.8552169517206,5.31583293341464,7.34475924222716,425.621953297235,906.278794934862,176.737998071836,513.785986487303,49.7013014453632,177.447250959217,32.2670548424539,57.4067067790811,-11.1311936156308,36.2548619621894,-33.9018621860732,-8.59424042915452,-46.1472642739491,-49.4901447624261
,19,20.0929759163746,7.29397382399839,8.54133593170536,931.05319105423,1785.2944542475,473.126264828679,1097.28171418604,188.260162588417,449.003493975749,133.427672221875,240.049123705814,38.4730435681358,156.662544855044,-4.71153852256521,42.5836372789099,-32.8118447007892,-8.04470069338822
,20,12.0480200393595,8.74155538650757,3.53732510897225,1775.41147146419,3086.5975122657,988.76320478216,2101.4678932157,453.041196084066,949.456952765828,319.854754237119,563.428818460627,141.126613883963,386.083116212403,49.8508147041657,153.74131925632,-4.89849932535162,72.8658479952874
,21,8.32107824634022,5.75047169178197,7.58775632653669,3098.80305851548,5033.62419470553,1911.88908450798,3644.67744327474,961.673428262589,1855.75792905362,689.790267448908,1189.81624495267,353.750942487227,826.560050854967,168.16508976186,380.141668656629,56.1826342234181,228.916540853913
,22,6.20115777414776,6.0227479610021,10.2345855912336,4976.18063004049,7424.98532717613,3359.88275340837,5846.88048968723,1874.87505639086,3325.27616872393,1379.37961018759,2296.06517915546,753.566471919205,1645.1249839147,402.810809154965,808.933400526772,192.424919948833,544.637284724201
,23,-4.07545270728497,-7.05469298097523,7.39363830852199,7349.74020507295,10575.0105972544,5422.56358039404,8609.44262976284,3284.20253814048,5469.70407290933,2536.87675399821,3952.35528001535,1468.35528762132,2985.35476005284,845.912770880005,1577.05103128773,451.262231598086,1132.53319259321
,24,6.76590768815186,7.3079361361988,-3.29982539850698,10383.6919931764,14268.0195680918,7941.5522611962,12102.5439191076,5431.0424692241,8057.65556072973,4499.99043871757,6380.22348687696,2747.06311568242,5150.06959651016,1669.14042240541,2937.55381693011,941.582852016951,2232.8702912065
,25,0.134540732110509,2.54426797958331,-12.6574535518666,13933.597935447,18117.6593428325,11120.7478642171,16142.746516506,7900.13310753353,11345.3539563647,6710.24001679795,9211.89454979137,4672.60054025359,7604.55767484844,3029.43269714442,4999.87905883002,1831.21431082049,3994.38905790566
,26,-19.4294717253069,-5.11908501848575,0.354077959896131,17709.9896191236,21785.8312826436,14925.8514727565,20352.4282737638,11131.0413024577,15309.9911766605,9645.9926407925,12829.541072555,6998.54880211409,10819.9578331963,5080.63400282719,7485.04720271393,3256.93068993311,6480.5719330818
,27,1.68385433393905,2.5521988902392,-4.78795751731468,21376.8718797151,25152.4355895284,18996.4238244153,24381.8909445025,15011.4551966838,19609.8652643085,13309.5504002423,17063.7322354844,9975.97141776085,14731.111049773,7516.10513987238,10664.3982533155,5580.84832679843,9428.61425035855
